C:\Users\Assaf\Anaconda3\python.exe C:/Users/Assaf/PycharmProjects/GaTest/FindMatches/find_matches.py
Number of matches is: 6986
Printing mismatches for keys:  ['p1.hotel_name', 'p2.hotel_name']  number of mismatches: 546
412       78/16-19 Soi NaNai 8, Phangmuang Sai Kor Rd.  78/16-19 Soi Na Nai 8 Phungmeaung Sai Kor Road...
413   Al Rigga Street, Behind Commercial Bank Building  Al Rigga Street, Behind Commercial Bank Buildi...
414                                       45, The Mall                                        45 The Mall
415                                   Al Faisal Street                                 King Faisal Street
417                           Kote Galli Beregaon Road  Next to Sai Mandir, Kote Galli,Near Shivsena O...
418                                           Cedran 5                                          Cedran, 5
419              Waweyaya, Yodakandiya, Tissamaharama.                         Yodakandiya  Tissamaharama
420                                       191 Tonosawa                                       Tonosawa 191
421           14-3A Santos St., Balibago, Angeles City  3-4 A. Santos St., Balibago, Angeles City, Pam...
422                    Yarza Thingaha Road, Hotel Zone  Yarza Thingaha Road, Hotel Zone, Dekhina Thiri...
423  Sahkulu Mahallesi, Kucuk Hendek Caddesi, No 16...  Sahkulu Mahallesi, Ilk Belediye Caddesi, No 39...
424  No. 25, Old No. 17, American Colony Crescent R...  No.25, American Colony, Kumara Park East, Near...
425                     350-E, Jalan Sultan Azlan Shah  350-E, Jalan Sultan Azlan Shah, Gelugor, Pulau...
427                 Aluth Paara, Meegaswewa, Habarana.                                        Meegaswewa,
428                         No.317, Renmin Road Middle           No.317, Ren Ming Zhong Road, Hu Men Town
429  Jalan Danau Tamblingan No. 89M, Batujimbar, Sanur                     Jalan Danau Tamblingan No. 89M
430                      1-23 Tsubaki-cho, Nakamura-ku                        Nakamura-ku Tsubakicho 1-23
431                           Lot 60143, Jalan Penarak            Lot 60143 Jalan Kemajuan, Bukit Penarak
432                                   Wongsiri RD 64/6                   64/7 Wongsiri Rd. Koh Mak Island
433  235, 237, 239 Sathorn Tai Rd., Yannawa, Sathor...     235,237,239 Sathorn Tai Road, Yannawa, Sathorn
434   15 J. Lorente corner Garcia Street, Capitol Site  15 J.Llorente and Garcia Street, Barangay Capi...
435                       No.16-2 Taiyuan South Street                          16-2 South Taiyuan Street
437                                 Via Luigi Alamanni                              Via Luigi Alamanni 37
438                                   Panch Kund Road,  Choti Basti, Panchkund Road, Pushkar, Rajastha...
440                        No.50 Ying Zhou Middle Road                         No.50 Middle Yingzhou Road
441                                 Changpingshan Road  Opposite To ChangPing Garden, ChangPingShan Ro...
442                                        Chobe River                 Plot 2239, Chobe River, PO Box 226
444  XIV / 264, Chemppumpuram P.OAlleppey - 688505K...    XIV / 264, Chemppumpuram P.O, Alleppey - 688505
445  Located in Orange Home's Syariah. Jl. Babakan ...                  Jl. Babakan Jeruk 1 No.76 Bandung
446  Shuru Mandir Road, Shamlina Nagar Road, Near J...      Naggar Road Village Shaminala Shuru Jagatsukh
447  38/12 Anuman Rachaton Soi ,Decho Rd.,Silom, Su...  38/12 Anuman Ratchaton, Silom, Suriyawong, Ban...
448               2 Tran Hung Dao B Street, District 5                                   02 Tran Hung Dao
449                        Windsor Road, Egham, Surrey                                       Windsor Road
452                        Ammouthes-Koskinou Kalithea                         Faliraki - Kallithea beach
453                              7320 E Camelback Road                           7320 East Camelback Road
455                                 6600 S Tamiami Trl                           6600 South Tamiami Trail
456        Kullu Manali National Highway, Chauri Bihal                              Manali District,Kullu
457              Karagedik District 1112 Street 14/A-1     Karagedik Mah. 1112 Sok No 14 A-1 Calis Mevkii
458          No. 80, Changbin Road, Chao Tian Men Port  No 80,Changbin Rd,Dock 11,ChaoTianMen,Yuzhong ...
459                             Yunusemre Avenue No.95               Deliklitas Mah Yunus emre cad No:95 
460                               Viale Trastevere 209                              Viale Trastevere 209 
461                        No.28-29 hongcun Backstreet                 No.28-29 Back Street, Hong Village
462              No 163,Sanya Bay Road . Hainan . P.R.                                  No.1603 Sanya Bay
463                        610 Sec. 4 Taiwan Boulevard                     No. 610, Section4, Taiwan Blvd
464                167 Hai Ba Trung Street, District 3                                   167 Hai Ba Trung
466                       Cnr Princes and High Streets                          118 High St, Dunedin 9016
467  Jl.Raya Puncak Km 90, PO Box - 18, Cianjur, Ci...                   Jl. Raya Puncak KM90 , PO BOX 18
468   Jl. Pengayoman, Kompleks Pasar Segar, Blok E, 9B      Jl. Pengayoman Kompleks Pasar Segar Blok E.9B
470                                2B Khu 9A, Bai Chay                                2A Khu 9B, Bai Chay
471                         5760 I-55 NE Frontage Road         5760 Interstate 55 Northeast Frontage Road
473                               130 Dizengoff Street                              130 Dizengoff Street 
475                                   Argyll Road Dyce                                  Argyll Road, Dyce
476         65 Moo 2 Rajapruk Rd. Bangkanoon Bangkruay         65 Ratchaphruek Rd. Bangkanoon, Bang Kruai
477                                  Jalan Balai Subak                   Jalan Bale Subak No. 3X, Babakan
478                       172 Richmond Road, Marleston                              172-176 Richmond Road
479                                       5 The Marina                                      5 The Marina 
480      Br. Bangkiang Sidem, Desa Keliki, Tegallalang  Jln Bangkiangsidem, Desa Keliki, Tegallalang, ...
481                      Jl. Dewi Sartika No. 3, Tuban                             Jl. Dewi Sartika No. 3
482                                        Velero, s/n                             Velero, s/n - Bolnuevo
483                             11, Mitropoleos Street                                     Mitropoleos 11
484                               21 Okeanidon Street,     21 Okeanidon Street, Agios Sostis, Syngrou Av.
485                               No.965, Henggong Rd.                             No. 965, Henggong Road
487     Main Street, Pollington, Goole, East Yorkshire                            Main Street, Pollington
488                       H.No 552, Ashvem Mandrem Goa    Opp. Caju Varo, Ashwem Beach, Pernem, North Goa
489       Rosario Street corner Gloria Street Balibago  Rosario Street Corner Gloria Street Balibago, ...
490  Stand Street, Between 32nd and 33rd Street, Ch...  Strand Road, Between 32st & 33rd Street, Chan ...
491                                  No.773, Minghu Rd                               No. 773, Minghu Road
492          Kirinda-Sitthulpawwa Road, Rottawewa Lake                   Sithulpawwa, Yala, Tissamaharama
493  58/1,East Coast Road,Muttukadu,Kanchipuram Dis...  58/1,Eastcoast Road,Muttukadu,Kanchipuram Dist...
494            No.69,Yongchang Road,Chengguan District                             No. 69, Yongchang Road
495                      Jl. Dago Golf 3 Cigadung Raya                 Jl. Dago Golf No. 3, Cigadung Raya
497           Jalan Singaraja-Gilimanuk Bali Indonesia  Desa Sumberkima, Kecamatan Gerokgak, Kabupaten...
498                                           Rue Davy                                       24, rue Davy
-----
Printing mismatches for keys:  ['p1.star_rating', 'p2.star_rating']  number of mismatches: 368
     p1.star_rating  p2.star_rating
2               2.0             0.0
3               1.5             2.0
4               2.5             4.0
6               3.0             0.0
7               1.5             1.0
9               2.0             1.0
10              2.5             3.0
11              1.5             3.0
15              3.0             0.0
17              1.5             0.0
19              2.0             0.0
20              1.0             0.0
24              3.0             4.0
25              2.0             0.0
30              3.0             0.0
32              4.0             0.0
42              3.5             4.0
45              1.5             0.0
51              1.0             2.0
52              2.0             0.0
53              2.0             1.0
56              3.0             4.0
59              3.5             0.0
61              3.0             2.0
68              3.0             0.0
71              2.0             0.0
76              2.0             0.0
77              2.0             0.0
79              1.0             0.0
80              3.0             2.0
83              4.0             0.0
89              3.0             2.0
90              4.0             3.0
91              2.0             1.0
98              1.0             2.0
101             3.5             3.0
110             1.0             2.0
112             4.0             3.0
115             3.0             2.0
116             1.0             0.0
117             3.5             3.0
118             2.0             3.0
121             2.0             0.0
126             2.0             0.0
130             3.0             0.0
131             3.5             0.0
133             2.0             0.0
135             1.0             0.0
136             2.0             0.0
137             1.5             0.0
138             4.0             3.0
141             2.0             1.0
142             3.0             0.0
144             1.5             2.0
147             3.5             3.0
150             3.0             4.0
152             2.0             0.0
153             4.0             4.5
154             3.0             2.0
157             0.0             2.0
158             1.0             2.0
163             2.0             3.0
168             3.0             2.0
169             3.5             2.0
171             1.5             0.0
172             2.5             2.0
176             3.5             0.0
179             3.0             0.0
182             3.0             0.0
184             2.5             1.0
185             1.0             0.0
188             2.0             0.0
189             4.0             0.0
190             3.0             0.0
191             2.0             3.0
192             2.0             0.0
193             3.0             0.0
195             3.0             2.0
196             3.0             0.0
197             5.0             0.0
198             2.0             3.0
199             3.0             0.0
201             2.5             3.0
202             2.5             0.0
205             2.5             2.0
207             2.0             0.0
209             4.0             3.0
212             4.5             4.0
213             2.5             2.0
214             3.0             2.0
223             2.5             3.0
225             4.0             4.5
228             1.5             2.0
234             3.0             2.0
235             5.0             4.0
237             2.0             3.0
244             4.0             3.0
245             1.5             0.0
249             4.0             5.0
251             2.0             3.0
253             2.5             0.0
255             2.0             0.0
257             1.0             0.0
258             3.0             4.0
259             1.5             0.0
261             2.0             0.0
263             2.5             3.0
265             3.0             0.0
266             2.0             0.0
269             2.0             3.0
271             4.0             3.0
272             2.5             2.0
279             2.5             2.0
282             4.0             3.0
291             1.0             0.0
292             3.0             3.5
295             3.0             4.0
300             2.0             3.0
305             3.5             4.0
311             1.0             0.0
314             3.0             0.0
315             2.5             0.0
325             2.0             3.0
326             2.5             3.0
327             3.0             0.0
330             3.0             2.0
334             1.5             0.0
339             2.5             3.0
344             2.5             2.0
345             2.0             3.0
350             1.5             1.0
352             3.0             2.0
366             4.0             3.0
371             4.0             3.0
372             3.0             2.0
374             0.0             2.0
388             2.5             3.0
398             3.0             2.0
399             4.0             3.0
400             2.5             3.0
401             5.0             4.0
403             1.5             2.0
406             2.0             0.0
412             2.0             3.0
419             3.0             0.0
420             4.5             4.0
424             2.5             0.0
425             1.0             3.0
427             2.0             0.0
431             3.0             2.0
432             2.5             0.0
434             2.5             0.0
435             2.0             0.0
436             3.0             0.0
438             2.0             3.0
439             2.0             3.0
442             4.0             0.0
443             4.5             5.0
444             2.5             0.0
445             3.0             2.0
446             3.0             0.0
447             2.0             0.0
450             1.0             3.0
454             1.0             2.0
455             3.0             2.0
458             3.0             2.0
462             4.0             0.0
464             4.5             4.0
465             2.5             3.0
466             4.0             4.5
467             4.0             3.0
470             1.5             2.0
476             4.0             3.0
478             2.5             3.0
480             5.0             4.0
481             3.0             2.0
485             3.5             0.0
487             3.0             0.0
488             3.0             0.0
490             4.0             3.0
492             3.0             0.0
495             3.0             2.0
496             1.0             0.0
497             1.0             3.0
-----
Printing mismatches for keys:  ['p1.postal_code', 'p2.postal_code']  number of mismatches: 356
    p1.postal_code p2.postal_code
0              NaN          36113
3              NaN         510420
7          140-201        140-200
12          528000         528061
15             946            964
21        SE10 9JW      SE10 9JW 
25             NaN        LIMA 18
26             NaN         100050
29             NaN         200136
32           21007          44170
33            4558           4567
34             NaN         610200
48             NaN            970
50           52000          51200
52             NaN            NaN
53             NaN        695-905
55             NaN          12000
57          230012         230000
61           40045            400
63            2039           2041
64             NaN         430023
65             NaN            NaN
66            8041           8042
69             NaN           9700
70           22231            966
71           50100          50220
74           77110          77100
77          541200         541000
78         8740935       874-0935
79             NaN            NaN
84           81180          81000
90             NaN        217-130
93             NaN            NaN
94         b49 6nr        B49 6NR
96             NaN           3004
101            NaN            NaN
105            NaN          64200
116        128              12711
119            NaN         614200
121          20150          20250
122            NaN         518067
125            NaN           1004
128         255000         255302
129            NaN         224000
130            NaN            NaN
132            NaN            NaN
134         215002         215000
136          10100          10450
137            NaN           1000
140            NaN           3330
141            NaN           3500
143            NaN         100020
147           1600           1605
148            NaN          95017
149          84 62            NaN
152            NaN            NaN
154            NaN           2009
157            NaN          24210
158            NaN            NaN
165            NaN          57601
172           6000          60000
173            NaN           H100
174         115054         115184
180            NaN            NaN
181           1039            NaN
188            NaN         518033
192         541990         541900
194            NaN            NaN
196          77110          76120
197            NaN            NaN
203            NaN          11221
206            NaN            NaN
208       DK- 1577        DK-1577
213            NaN          10100
214     46385-6260          46385
217            NaN           2780
218           5212           5213
219     36460-5639          36460
224            NaN            NaN
232            100              0
235            NaN        232-711
236            NaN          75017
238           2020             50
242     3951 PC112            113
243            NaN            NaN
250            NaN            NaN
251          31000          31300
252           6620           6625
256            NaN         350008
257            NaN            NaN
261          26542            265
264            NaN            NaN
265            701            700
269         423019         423109
275           2029           2092
283            NaN          11450
284            NaN         753 40
285            NaN         403713
293            NaN          28884
294            NaN            NaN
295            NaN           3500
300     71202-3909          71202
301            NaN              0
303            NaN            NaN
313            NaN            NaN
314            NaN          10718
315         510160         510000
316            NaN            NaN
320         430034         430033
321            NaN          11221
324         210019         210005
325         225508         225300
326            NaN          41140
329          59112          59111
331         201206         200000
333            NaN            NaN
337            NaN            NaN
341        600 016         600016
342     92260-3803          92260
343       639-1132        6391132
347            NaN            NaN
357          70000            NaN
359          80361          80364
365            184            165
367           8034           8036
369            NaN          20000
371        711 322         711322
372            NaN            NaN
373            NaN          50200
375            NaN           1380
376            NaN           5316
378         305002         305001
379            NaN           2010
384     70115-4690          70115
389            NaN          10200
393            NaN          11500
396            NaN            NaN
399          57131          57135
400            NaN         518028
401            NaN          42166
402            NaN            NaN
411          96738          96740
413            NaN            NaN
415           1946            NaN
418          18001          18010
419            NaN          82600
420        2500315       250-0315
421            NaN           2009
426            NaN            NaN
427            NaN          50150
428         523903         523000
434            NaN           6000
435            NaN         110000
439            NaN         110000
442            NaN            NaN
448            NaN            NaN
450     35904-8239          35904
453     85251-3404          85251
455     34231-4832          34231
461         245000         243100
464          70000            NaN
466            NaN           9054
467            NaN          43253
468            NaN          90143
469     21901-1805          21901
470            NaN            NaN
473            NaN          64397
474            NaN          95991
477          80351          80361
480            NaN          80561
486           6227        6227 AH
489           2009           2010
490         263761          11221
491            NaN            300
492          82600          82000
494         730030         730000
495         410191          40191
496            NaN            NaN
-----

Process finished with exit code 0
